hospital_name,hospital_number,hospital_addr
24시 웰니스동물의료센터,032-201-7575,"경기 부천시 부흥로303번길 62 그린프라자 2층
(지번) 중동 1128"
24시해든동물메디컬센터,032-715-7579,"경기 부천시 신흥로 190 위브더스테이트 1단지 상가 2층 213-216호
(지번) 중동 1106"
24시센트럴동물의료센터,031-432-2475,"경기 시흥시 정왕대로 174 광개토빌딩 110,203호
(지번) 정왕동 1726-1"
24시우리들동물메디컬센터,02-2642-7588,"서울 양천구 신월로 355 더넥스트목동 1,2층
(지번) 신정동 982-4"
24시이지동물의료센터,032-348-7975,"경기 부천시 부일로 712 조양시티프라자 202호
(지번) 역곡동 49-5"
24시월드펫동물메디컬센터,02-2698-7582,"서울 양천구 신월로 208
(지번) 신월동 602-1"
24시온누리동물메디컬센터,031-487-7500,"경기 안산시 단원구 광덕대로 251 1층
(지번) 고잔동 525-1"
24시i동물메디컬센터,032-677-5262,"경기 부천시 소사로 779
(지번) 원종동 229-8"
24시지구촌동물메디컬센터,02-869-7582,"서울 구로구 구로중앙로31길 30 유성빌딩
(지번) 구로동 505-17"
24시아프리카동물메디컬센터,02-3663-7975,"서울 강서구 공항대로 335 경왕빌딩
(지번) 등촌동 664-1"
세인트동물병원,02-2695-0072,"서울 강서구 강서로 36 1층
(지번) 화곡동 342-57"
금천24시K동물의료센터,02-808-2475,"서울 금천구 시흥대로 251 도일산호시티빌 1층 105호
(지번) 시흥동 999-1"
24시 강서젠틀리동물의료센터,02-2662-8111,"서울 강서구 마곡중앙1로 72 엠타워 101호
(지번) 마곡동 730-328"
김포메디엘동물병원,031-985-7075,"경기 김포시 김포한강4로 521 한강메디플라자 201호
(지번) 구래동 6880-5"
24시위드유동물의료센터,031-318-4975,"경기 시흥시 은계번영길 1 2층
(지번) 은행동 646"
화이트동물병원,032-561-7582,"인천 서구 서곶로 866
(지번) 마전동 1056-6"
24시해든동물메디컬센터,032-715-7579,"경기 부천시 신흥로 190 위브더스테이트 1단지 상가 2층 213-216호
(지번) 중동 1106"
24시당신의동물의료센터,031-268-6575,"경기 수원시 장안구 천천로 100 시네마타워 1층 104, 202호
(지번) 천천동 516"
분당24시동물의료센터,031-605-5119,"경기 성남시 분당구 야탑로 24 분당빌딩 101호
(지번) 야탑동 537-2"
24시쓰담쓰담동물메디컬센터,031-548-4480,"경기 용인시 기흥구 중부대로 364 2동 2층
(지번) 신갈동 69-8"
